date,close,volume,open,high,low
30-03-2019,279.86,"59,91,338",278.49,280.16,274.5
29-03-2019,279.86,5980355,278.7,280.16,274.5
28-03-2019,278.62,6764921,277.16,280.33,275.1
27-03-2019,274.83,8752384,268.75,275.37,268.1838
26-03-2019,267.77,7341868,264.44,270.26,264.43
25-03-2019,260.42,10205080,259.71,263.18,254.46
22-03-2019,264.53,8721950,272.58,272.8,264
21-03-2019,274.02,5930925,272.6,276.45,268.45
20-03-2019,273.6,6881976,269.69,274.97,266.3
19-03-2019,267.47,11774330,267.5,273.3,263.46
18-03-2019,269.49,10264960,276,278.05,267.3
15-03-2019,275.43,14757360,283.51,283.7244,274.4
14-03-2019,289.96,7048138,292.45,295.39,288.29
13-03-2019,288.96,6817854,283.9,291.99,282.7
12-03-2019,283.36,7488037,286.49,288.07,281.06
11-03-2019,290.92,7372298,283.52,291.28,280.5
08-03-2019,284.14,8805772,276.91,285.59,275.89
07-03-2019,276.59,9410697,278.84,284.7,274.25
06-03-2019,276.24,10319370,276.48,281.5058,274.39
05-03-2019,276.54,18729800,282,284,270.1
04-03-2019,285.36,17068890,298.12,299,282.78
01-03-2019,294.79,22848750,306.94,307.13,291.9
28-02-2019,319.88,9666224,318.92,320,310.81
27-02-2019,314.74,11144100,301.78,316.295,300.55
26-02-2019,297.86,8571609,292.22,302.01,288.7701
25-02-2019,298.77,6213701,297.91,302.9044,297.0005
22-02-2019,294.71,5731380,294.49,296.5,292.1
21-02-2019,291.23,8880830,301.81,303.2399,290.5
20-02-2019,302.56,7132969,304.41,306.3,299
19-02-2019,305.64,4120520,306.56,311.5442,305.47
15-02-2019,307.88,3895815,304.5,308,303.9
14-02-2019,303.77,5190887,303.38,306.77,301
13-02-2019,308.17,5130398,312.35,312.75,305.57
12-02-2019,311.81,5485419,316.2,318.19,309.62
11-02-2019,312.84,7114012,311.6,318.6,310.5
08-02-2019,305.8,5835078,306.83,307.445,298.5
07-02-2019,307.51,6511830,313.3,314.7,303
06-02-2019,317.22,5031368,319.59,324.24,315.624
05-02-2019,321.35,6734739,312.49,322.44,312.2494
04-02-2019,312.89,7344076,312.98,315.3,301.88
01-02-2019,312.21,7263618,305.42,316.1,303.5
31-01-2019,307.02,12545190,301,311.5636,294
30-01-2019,308.77,10594040,300.45,309,298.49
29-01-2019,297.46,4602933,295.27,298.5566,291.8
28-01-2019,296.38,6409477,292.91,297.46,287.75
25-01-2019,297.04,7102781,294.39,298.5195,289.55
24-01-2019,291.51,7990911,283.03,293.68,279.2831
23-01-2019,287.59,12513080,292.5,294.5,281.69
22-01-2019,298.92,12052130,304.82,308,295.5
